type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,5,15810,5.27,2.18,7.45,4.82,
peak,1,18,15810,5.16,15.26,20.43,17.84,13.02
peak,2,31,15810,4.82,28.89,33.7,31.3,13.46
peak,3,44,15810,5.56,42.0,47.56,44.78,13.48
peak,4,59,15810,5.0,56.69,61.69,59.19,14.409999999999997
peak,5,72,15810,4.95,69.72,74.68,72.2,13.010000000000005
peak,6,86,15810,5.09,83.22,88.32,85.77,13.569999999999993
trough,0,11,15810,7.81,7.45,15.26,11.36,
trough,1,24,15810,8.46,20.43,28.89,24.66,13.3
trough,2,37,15810,8.3,33.7,42.0,37.85,13.190000000000001
trough,3,52,15810,9.13,47.56,56.69,52.12,14.269999999999996
trough,4,65,15810,8.04,61.69,69.72,65.7,13.580000000000005
trough,5,78,15810,8.55,74.68,83.22,78.95,13.25
trough,6,93,15810,9.22,88.32,97.53,92.92,13.969999999999999
