type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,6,34425,6.14,2.75,8.89,5.82,
peak,1,20,34425,5.8,17.04,22.84,19.94,14.120000000000001
peak,2,34,34425,5.12,31.73,36.85,34.29,14.349999999999998
peak,3,49,34425,5.78,45.4,51.18,48.29,14.0
peak,4,63,32640,5.67,59.79,65.46,62.62,14.329999999999998
peak,5,76,34425,5.28,74.06,79.34,76.7,14.080000000000005
trough,0,12,34425,8.15,8.89,17.04,12.96,
trough,1,27,34425,8.89,22.84,31.73,27.28,14.32
trough,2,41,34425,8.55,36.85,45.4,41.12,13.839999999999996
trough,3,56,34425,8.68,51.18,59.86,55.52,14.400000000000006
trough,4,70,34425,8.67,65.39,74.06,69.73,14.21
trough,5,84,34425,8.86,79.34,88.19,83.77,14.039999999999992
