type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,7,8415,4.7,5.13,9.83,7.48,
peak,2,20,8415,5.12,18.13,23.25,20.69,13.21
peak,3,33,8415,4.89,31.39,36.28,33.84,13.150000000000002
peak,4,47,8415,4.61,45.03,49.63,47.33,13.489999999999995
peak,5,61,8415,5.02,57.84,62.87,60.36,13.030000000000001
peak,6,73,8415,4.94,71.31,76.25,73.78,13.420000000000002
trough,0,12,8415,8.3,9.83,18.13,13.98,
trough,2,27,8415,8.14,23.25,31.39,27.32,13.34
trough,3,40,8415,8.75,36.28,45.03,40.66,13.339999999999996
trough,4,53,8415,8.21,49.63,57.84,53.74,13.080000000000005
trough,5,67,8415,8.44,62.87,71.31,67.09,13.350000000000001
trough,6,80,8415,8.16,76.25,84.41,80.33,13.239999999999995
