type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,4,12240,5.15,2.1,7.25,4.68,
peak,1,18,12240,6.14,16.16,22.3,19.23,14.55
peak,2,33,12240,5.18,30.71,35.89,33.3,14.069999999999997
peak,3,48,12240,5.75,44.57,50.31,47.44,14.14
peak,4,61,12240,4.86,58.75,63.61,61.18,13.740000000000002
peak,5,74,12240,4.54,71.67,76.21,73.94,12.759999999999998
peak,6,86,12240,5.62,83.83,89.45,86.64,12.700000000000003
trough,0,10,12240,8.91,7.25,16.16,11.7,
trough,1,27,12240,8.41,22.3,30.71,26.5,14.8
trough,2,40,12240,8.68,35.89,44.57,40.23,13.729999999999997
trough,3,54,12240,8.44,50.31,58.75,54.53,14.300000000000004
trough,4,67,12240,8.06,63.61,71.67,67.64,13.11
trough,5,80,12240,7.62,76.21,83.83,80.02,12.379999999999995
trough,6,92,12240,6.95,89.45,96.41,92.93,12.91000000000001
