type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,17,12495,5.07,13.33,18.4,15.87,
peak,2,28,13515,5.54,27.44,32.98,30.21,14.340000000000002
peak,3,45,13515,5.57,42.31,47.88,45.1,14.89
peak,4,60,13515,5.17,57.44,62.6,60.02,14.920000000000002
peak,5,75,13515,4.78,71.97,76.75,74.36,14.339999999999996
peak,6,88,13515,4.87,86.58,91.44,89.01,14.650000000000006
peak,7,102,13515,4.91,99.8,104.71,102.26,13.25
peak,8,116,13515,3.89,114.02,117.91,115.97,13.709999999999994
trough,2,24,13515,8.69,18.75,27.44,23.09,
trough,3,37,13515,9.34,32.98,42.31,37.64,14.55
trough,4,53,13515,9.55,47.88,57.44,52.66,15.019999999999996
trough,5,66,13515,9.37,62.6,71.97,67.29,14.63000000000001
trough,6,81,13515,9.83,76.75,86.58,81.66,14.36999999999999
trough,7,96,13515,8.36,91.44,99.8,95.62,13.960000000000008
trough,8,109,13515,9.31,104.71,114.02,109.37,13.75
