type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,10,39015,8.02,6.61,14.63,10.62,
peak,1,28,39015,7.12,25.17,32.29,28.73,18.11
peak,3,47,39015,6.85,43.12,49.97,46.55,17.819999999999997
peak,4,63,39015,6.95,59.82,66.78,63.3,16.75
peak,5,81,39015,7.44,76.48,83.91,80.19,16.89
trough,0,20,39015,10.54,14.63,25.17,19.9,
trough,2,39,39015,10.84,32.29,43.12,37.71,17.810000000000002
trough,3,55,39015,9.85,49.97,59.82,54.9,17.189999999999998
trough,4,72,39015,9.7,66.78,76.48,71.63,16.729999999999997
trough,5,89,39015,9.86,83.91,93.77,88.84,17.210000000000008
