type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,8,17850,4.42,6.75,11.17,8.96,
peak,1,23,18360,5.73,19.33,25.06,22.2,13.239999999999998
peak,2,37,19380,6.01,33.72,39.73,36.73,14.529999999999998
peak,3,52,19380,5.98,48.72,54.69,51.71,14.980000000000004
peak,4,67,19380,6.88,63.41,70.28,66.84,15.130000000000003
peak,5,81,19380,5.46,78.83,84.3,81.57,14.72999999999999
trough,0,15,19380,8.0,11.17,19.17,15.17,
trough,1,28,19380,8.6,25.06,33.67,29.36,14.19
trough,2,44,19380,8.98,39.73,48.72,44.23,14.869999999999997
trough,3,59,19380,8.71,54.69,63.41,59.05,14.82
trough,4,75,19380,8.55,70.28,78.83,74.56,15.510000000000005
trough,5,88,19380,8.17,84.39,92.56,88.48,13.920000000000002
