right_base,center,image_name,type,num,peak_idx,peak_height,fwhm_width,left_base
7.25,4.68,013 WT-DA-1 19k new sec strip 3,peak,0,4,12240,5.15,2.1
16.16,11.7,013 WT-DA-1 19k new sec strip 3,trough,0,10,12240,8.91,7.25
22.3,19.23,013 WT-DA-1 19k new sec strip 3,peak,1,18,12240,6.14,16.16
30.71,26.5,013 WT-DA-1 19k new sec strip 3,trough,1,27,12240,8.41,22.3
35.89,33.3,013 WT-DA-1 19k new sec strip 3,peak,2,33,12240,5.18,30.71
44.57,40.23,013 WT-DA-1 19k new sec strip 3,trough,2,40,12240,8.68,35.89
50.31,47.44,013 WT-DA-1 19k new sec strip 3,peak,3,48,12240,5.75,44.57
58.75,54.53,013 WT-DA-1 19k new sec strip 3,trough,3,54,12240,8.44,50.31
63.61,61.18,013 WT-DA-1 19k new sec strip 3,peak,4,61,12240,4.86,58.75
71.67,67.64,013 WT-DA-1 19k new sec strip 3,trough,4,67,12240,8.06,63.61
76.21,73.94,013 WT-DA-1 19k new sec strip 3,peak,5,74,12240,4.54,71.67
83.83,80.02,013 WT-DA-1 19k new sec strip 3,trough,5,80,12240,7.62,76.21
89.45,86.64,013 WT-DA-1 19k new sec strip 3,peak,6,86,12240,5.62,83.83
96.41,92.93,013 WT-DA-1 19k new sec strip 3,trough,6,92,12240,6.95,89.45
