right_base,center,image_name,type,num,peak_idx,peak_height,fwhm_width,left_base
18.4,15.87,004 WT-DA 25k strip 3,peak,0,17,12495,5.07,13.33
32.98,30.21,004 WT-DA 25k strip 3,peak,2,28,13515,5.54,27.44
27.44,23.09,004 WT-DA 25k strip 3,trough,2,24,13515,8.69,18.75
47.88,45.1,004 WT-DA 25k strip 3,peak,3,45,13515,5.57,42.31
42.31,37.64,004 WT-DA 25k strip 3,trough,3,37,13515,9.34,32.98
62.6,60.02,004 WT-DA 25k strip 3,peak,4,60,13515,5.17,57.44
57.44,52.66,004 WT-DA 25k strip 3,trough,4,53,13515,9.55,47.88
76.75,74.36,004 WT-DA 25k strip 3,peak,5,75,13515,4.78,71.97
71.97,67.29,004 WT-DA 25k strip 3,trough,5,66,13515,9.37,62.6
91.44,89.01,004 WT-DA 25k strip 3,peak,6,88,13515,4.87,86.58
86.58,81.66,004 WT-DA 25k strip 3,trough,6,81,13515,9.83,76.75
104.71,102.26,004 WT-DA 25k strip 3,peak,7,102,13515,4.91,99.8
99.8,95.62,004 WT-DA 25k strip 3,trough,7,96,13515,8.36,91.44
117.91,115.97,004 WT-DA 25k strip 3,peak,8,116,13515,3.89,114.02
114.02,109.37,004 WT-DA 25k strip 3,trough,8,109,13515,9.31,104.71
